,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind speed
86,Sakassou,56,CI,1547326800,32,7.45,-5.29,29,1.0
87,Maniitsoq,36,GL,1547329401,100,65.42,-52.9,-14.04,2.9
88,Klaksvik,92,FO,1547328000,100,62.23,-6.59,6,1.5
89,Ponta do Sol,24,BR,1547329408,67,-20.63,-46.0,26.91,1.4
90,La Rioja,0,AR,1547329411,58,-29.41,-66.86,27.64,1.65
91,Damietta,0,EG,1547329414,95,31.42,31.81,8.14,3.85
92,Souillac,90,FR,1547326800,100,45.6,-0.6,6,3.1
93,Kavieng,48,PG,1547329420,100,-2.57,150.8,27.39,4.65
94,Port Elizabeth,75,US,1547326560,31,39.31,-74.98,1.1,2.1
95,Roald,75,NO,1547328000,86,62.58,6.12,4,3.1
96,Bluff,0,AU,1547329430,78,-23.58,149.07,21.44,3.2
97,Te Anau,100,NZ,1547329433,71,-45.41,167.72,12.64,4.7
98,Alihe,48,CN,1547329437,57,50.57,123.73,-21.59,1.15
99,Sol-Iletsk,92,RU,1547329440,92,51.16,55.0,-3.59,8.75
100,Codrington,64,AU,1547326800,83,-28.95,153.24,22,1.6
101,Touros,75,BR,1547326800,78,-5.2,-35.46,28,4.1
102,Agirish,64,RU,1547329453,79,61.92,63.02,-14.37,3.5
103,Torbay,90,CA,1547326800,80,47.66,-52.73,-1,7.7
104,Longview,90,US,1547328900,58,32.5,-94.74,11.1,7.25
105,Hazorasp,0,UZ,1547326800,89,41.32,61.08,2,5.1
106,Grindavik,75,IS,1547328600,100,63.84,-22.43,1,2.6
107,Olinda,75,EC,1547326800,70,-2.03,-79.75,29,1.5
108,Koshki,88,RU,1547329476,96,54.2,50.47,-0.67,6.05
109,Mataura,92,NZ,1547329479,89,-46.19,168.86,12.66,1.05
110,Sao Filipe,0,CV,1547329483,96,14.9,-24.5,22.46,4.45
111,Carnarvon,0,ZA,1547329486,54,-30.97,22.13,17.39,5.5
112,Castro,75,CL,1547326800,67,-42.48,-73.76,14,3.1
113,Avarua,75,CK,1547326800,74,-21.21,-159.78,29,3.6
114,Birecik,75,TR,1547328000,96,37.03,37.98,4,3.1
115,Tatarsk,36,RU,1547329506,76,55.22,75.96,-17.67,5.05
116,Macas,75,EC,1547326800,100,-2.3,-78.12,21,2.6
117,Lompoc,1,US,1547327700,64,34.64,-120.46,16.7,5.1
118,Vila Franca do Campo,75,PT,1547326800,77,37.72,-25.43,16,5.7
119,Coquimbo,20,CL,1547326800,60,-29.95,-71.34,20,6.2
120,Hami,76,CN,1547329306,55,42.84,93.51,-14.67,1.4
121,Coihaique,20,CL,1547326800,41,-45.58,-72.07,15,5.1
122,Key West,75,US,1547327940,92,47.93,-96.78,-3,1.5
123,Doka,0,SD,1547329538,31,13.52,35.76,23.94,4.55
124,Desaguadero,24,PE,1547329541,70,-16.56,-69.04,12.34,3.85
125,East London,0,ZA,1547329545,99,-33.02,27.91,22.84,7.9
126,Nguruka,68,TZ,1547329548,98,-5.11,31.04,18.76,1.05
127,San Patricio,36,PY,1547329551,93,-26.98,-56.83,26.26,1.4
128,Leirvik,88,NO,1547328000,87,59.78,5.5,7,6.7
129,Barrow,36,AR,1547329558,95,-38.31,-60.23,22.94,2.95
130,Turukhansk,36,RU,1547329561,58,65.8,87.96,-36.02,5.8
131,Bowen,75,AU,1547326800,94,-20.01,148.25,23,0.5
132,Laguna,20,MX,1547325600,36,27.52,-110.01,26,2.6
133,Kysyl-Syr,36,RU,1547329574,60,63.9,122.77,-29.27,3.0
134,Dicabisagan,32,PH,1547329577,100,17.08,122.42,21.91,3.0
135,Port-Gentil,40,GA,1547326800,94,-0.72,8.78,26,3.1
136,Anadyr,0,RU,1547326800,63,64.73,177.51,-24,6.0
137,Sayyan,0,YE,1547329590,69,15.17,44.32,1.09,0.95
138,Saint Anthony,1,US,1547326560,67,43.97,-111.68,-5,1.85
139,Bintulu,75,MY,1547326800,94,3.17,113.03,25,0.5
140,Libreville,20,GA,1547326800,88,0.39,9.45,28,4.1
141,Puerto Ayora,75,EC,1547326800,58,-0.74,-90.35,30,7.7
142,Luderitz,36,NA,1547329606,93,-26.65,15.16,16.56,2.5
143,Kahului,75,US,1547326560,56,20.89,-156.47,27.2,6.2
144,Salo,8,FI,1547328000,100,60.38,23.13,-8,2.65
145,Krasnoturansk,8,RU,1547326800,75,54.32,91.57,-25,1.2
146,Alofi,36,NU,1547326800,69,-19.06,-169.92,28,5.1
147,Cidreira,92,BR,1547329626,89,-30.17,-50.22,24.19,6.95
148,Hambantota,92,LK,1547329629,100,6.12,81.12,25.64,5.0
149,Iqaluit,20,CA,1547326800,67,63.75,-68.52,-32,11.3
150,Mount Isa,0,AU,1547326800,37,-20.73,139.49,28,2.1
151,Mandalgovi,12,MN,1547329639,54,45.76,106.27,-22.19,2.05
152,Outreau,90,FR,1547328000,87,50.7,1.58,9,5.1
153,Bredasdorp,0,ZA,1547326800,48,-34.53,20.04,18,5.7
154,Port-Cartier,75,CA,1547326800,67,50.03,-66.88,-7,2.1
155,Vanimo,64,PG,1547329505,100,-2.67,141.3,26.69,5.7
156,Muros,0,ES,1547326800,81,42.77,-9.06,6,3.6
157,Wad Rawah,0,SD,1547329672,44,15.16,33.13,22.51,3.85
158,Richards Bay,8,ZA,1547329675,92,-28.77,32.06,20.64,1.3
159,Port Lincoln,8,AU,1547329681,95,-34.72,135.86,17.84,6.25
160,Kabalo,56,CD,1547329688,97,-6.05,26.92,21.69,1.3
161,Moerai,92,PF,1547329691,100,-22.43,-151.33,24.76,10.45
162,Kaitangata,92,NZ,1547329694,81,-46.28,169.85,14.06,2.65
163,Dourbali,0,TD,1547329697,36,11.81,15.86,20.14,3.5
164,Le Moule,40,GP,1547328600,69,16.33,-61.35,26,4.6
165,Pisco,0,PE,1547326800,30,-13.71,-76.2,22,11.8
166,Ancud,75,CL,1547326800,67,-41.87,-73.83,14,3.1
167,Fare,92,PF,1547329710,99,-16.7,-151.02,28.56,10.85
168,Vysokogornyy,8,RU,1547329714,32,50.1,139.13,-30.74,1.0
169,Springdale,90,US,1547329140,100,36.19,-94.13,5,5.7
170,Belmonte,0,PT,1547329721,84,40.36,-7.35,1.54,3.2
171,Abu Kamal,0,SY,1547329724,74,34.45,40.92,6.01,5.45
172,Pimentel,88,BR,1547329515,93,-3.7,-45.5,24.01,1.3
173,Pochutla,75,MX,1547325900,66,15.74,-96.47,30,3.2
174,Baruun-Urt,0,MN,1547329469,45,46.68,113.28,-22.74,3.2
175,Mogadishu,32,SO,1547329740,100,2.04,45.34,26.19,10.15
176,Mount Gambier,0,AU,1547326800,77,-37.83,140.78,15,4.6
177,Dikson,76,RU,1547329746,100,73.51,80.55,-27.42,14.5
